session,variant,alignment,skipped_leading_rows,manual_jump_index,algorithm_jump_index,manual_contact_time_s,algorithm_contact_time_s,contact_error_s,manual_air_time_s,algorithm_air_time_s,air_error_s,algorithm_touch_start_s,algorithm_lift_s,algorithm_landing_s
20260624_3_垂直方向10次纵跳,compensated,trimmed_first_real_jump,0,1,1,0.330000000,0.197999600,-0.132000400,0.350000000,0.510964900,0.160964900,4.518918800,4.716918400,4.518918800
20260624_3_垂直方向10次纵跳,compensated,trimmed_first_real_jump,0,2,2,0.430000000,0.306994500,-0.123005500,0.330000000,0.442983800,0.112983800,5.159902200,5.466896700,5.159902200
20260624_3_垂直方向10次纵跳,compensated,trimmed_first_real_jump,0,3,3,0.440000000,0.292729700,-0.147270300,0.370000000,0.510240500,0.140240500,5.977137200,6.269866900,5.977137200
20260624_3_垂直方向10次纵跳,compensated,trimmed_first_real_jump,0,4,4,0.440000000,0.299103200,-0.140896800,0.370000000,0.513002500,0.143002500,6.782869400,7.081972600,6.782869400
20260624_3_垂直方向10次纵跳,compensated,trimmed_first_real_jump,0,5,5,0.420000000,0.266473400,-0.153526600,0.390000000,0.531655200,0.141655200,7.613627800,7.880101200,7.613627800
20260624_3_垂直方向10次纵跳,compensated,trimmed_first_real_jump,0,6,6,0.370000000,0.218927700,-0.151072300,0.360000000,0.534863900,0.174863900,8.414965100,8.633892800,8.414965100
20260624_3_垂直方向10次纵跳,compensated,trimmed_first_real_jump,0,7,7,0.340000000,0.133998500,-0.206001500,0.360000000,0.507000800,0.147000800,9.140893600,9.274892100,9.140893600
20260624_3_垂直方向10次纵跳,compensated,trimmed_first_real_jump,0,8,8,0.350000000,0.173977800,-0.176022200,0.340000000,0.522005600,0.182005600,9.796897700,9.970875500,9.796897700
20260624_3_垂直方向10次纵跳,compensated,trimmed_first_real_jump,0,9,9,0.360000000,0.239220000,-0.120780000,0.330000000,0.510266900,0.180266900,10.481142400,10.720362400,10.481142400
20260624_3_垂直方向10次纵跳,compensated,trimmed_first_real_jump,0,10,10,0.700000000,,,0.410000000,0.544538000,0.134538000,,10.720362400,11.264900400
